Sample,Index,File,Origin,URL,Notes
armora,0,005_tankeng.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
baa,0,1.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
bass,0,000_bass1.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
bd,0,BT0A0D0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
casio,0,high.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
hh,0,000_hh3closedhh.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
hh,1,001_hh3crash.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
ho,0,HHOD0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
house,0,000_BD.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
jungbass,0,fukubass2.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
jungbass,1,gliding_808_sub.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
monsterb,0,000_jumpdown.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
print,0,6.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
qlatibro,0,001_Sound3.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,Copy of latibro with gain reduction
qlatibro,1,006_Sound8.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,Copy of latibro with gain reduction
qspace,0,000_0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,Copy of space with gain reduction
rm,0,RIM0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
rm,1,RIMA.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
sn,0,ST0T0S7.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
sn,1,ST0T7S7.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
wobble,0,000_0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples/tree/c2db9a0dc4ffb911febc613cdb9726cae5175223,
